A,p,t,R_train_A_p,R_validation_A_p
0,0.1,2.08,1.0,0.34
1,0.1,2.79,1.0,0.12
2,0.1,0.31,1.0,0.18
3,0.1,0.31,1.0,0.18
4,0.1,0.18,1.0,0.18
5,0.1,2.39,1.0,0.31
6,0.1,3.2,1.0,0.1
7,0.1,0.34,1.0,0.15
8,0.1,0.3,1.0,0.15
9,0.1,0.29,1.0,0.15
10,0.1,3.24,1.0,0.24
11,0.1,4.01,1.0,0.32
12,0.1,3.25,1.0,0.38
13,0.1,4.67,1.0,0.43
14,0.1,4.32,1.0,0.44
15,0.1,3.76,1.0,0.24
16,0.1,2.98,0.98,0.32
17,0.1,8.49,0.96,0.38
18,0.1,8.59,0.92,0.43
19,0.1,3.24,0.88,0.42
20,0.1,2.55,1.0,0.36
21,0.1,3.59,1.0,0.37
22,0.1,3.23,1.0,0.36
23,0.1,3.18,1.0,0.36
24,0.1,3.05,1.0,0.36
25,0.1,7.05,1.0,0.34
26,0.1,1.75,1.0,0.36
27,0.1,3.89,1.0,0.36
28,0.1,4.95,1.0,0.35
29,0.1,4.96,1.0,0.35
30,0.1,0.11,0.23,0.03
31,0.1,0.27,0.9,0.36
32,0.1,0.34,0.97,0.38
33,0.1,0.47,0.98,0.38
34,0.1,0.45,0.99,0.38
35,0.1,0.13,0.94,0.37
36,0.1,0.12,0.97,0.38
37,0.1,0.16,0.99,0.38
38,0.1,0.17,0.99,0.38
39,0.1,0.17,0.99,0.38
37,0.2,0.27,0.91,0.44
36,0.2,0.19,0.9,0.44
37,0.3,0.43,0.85,0.48
36,0.3,0.29,0.85,0.48
11,0.2,10.06,1.0,0.36
0,0.2,2.8,1.0,0.36
0,0.3,4.12,1.0,0.36
11,0.3,17.25,1.0,0.37
37,0.4,0.53,0.81,0.49
15,0.2,9.25,1.0,0.26
15,0.3,16.63,1.0,0.29
18,0.2,19.25,0.92,0.47
0,0.4,5.34,1.0,0.42
18,0.3,34.98,0.93,0.49
33,0.2,0.74,0.91,0.44
33,0.3,1.26,0.85,0.48
0,0.5,6.68,1.0,0.39
17,0.2,19.11,0.96,0.42
17,0.3,32.92,0.96,0.44
31,0.2,0.45,0.76,0.41
31,0.3,0.63,0.71,0.48
31,0.4,0.78,0.65,0.48
28,0.2,8.77,1.0,0.39
28,0.3,13.51,1.0,0.38
29,0.2,9.71,1.0,0.39
29,0.3,13.81,1.0,0.38
18,0.4,50.0,0.92,0.51
26,0.2,3.72,1.0,0.39
26,0.3,7.21,1.0,0.39
10,0.2,6.4,1.0,0.26
10,0.3,10.22,1.0,0.29
12,0.2,6.66,1.0,0.42
12,0.3,9.8,1.0,0.44
21,0.2,5.94,1.0,0.35
21,0.3,8.98,1.0,0.38
21,0.4,13.82,1.0,0.41
20,0.2,4.52,1.0,0.42
20,0.3,6.01,1.0,0.45
9,0.2,0.18,1.0,0.13
9,0.3,0.26,1.0,0.19
28,0.4,17.63,1.0,0.4
26,0.4,10.49,1.0,0.41
33,0.4,1.34,0.79,0.49
35,0.2,0.24,0.85,0.45
35,0.3,0.33,0.78,0.49
1,0.2,4.06,1.0,0.2
1,0.3,5.68,1.0,0.36
22,0.2,5.79,1.0,0.34
31,0.5,0.92,0.63,0.48
17,0.4,50.14,0.96,0.48
22,0.3,8.21,1.0,0.38
6,0.2,5.32,1.0,0.15
6,0.3,7.96,1.0,0.26
10,0.4,16.52,1.0,0.3
24,0.2,4.13,1.0,0.34
29,0.4,18.2,1.0,0.41
35,0.4,0.43,0.72,0.5
35,0.5,0.55,0.71,0.49
28,0.5,21.4,1.0,0.45
24,0.3,6.79,1.0,0.37
37,0.5,0.66,0.79,0.48
13,0.2,11.29,1.0,0.48
13,0.3,20.7,1.0,0.49
22,0.4,10.87,1.0,0.38
12,0.4,14.46,1.0,0.49
25,0.2,16.83,1.0,0.37
25,0.3,24.03,1.0,0.44
19,0.2,7.34,0.87,0.49
19,0.3,13.49,0.88,0.5
28,0.6,29.04,1.0,0.45
16,0.2,5.91,0.98,0.35
20,0.4,8.74,1.0,0.47
24,0.4,9.11,1.0,0.38
16,0.3,8.9,0.98,0.37
28,0.7,33.23,1.0,0.43
2,0.2,0.18,1.0,0.12
11,0.4,25.26,1.0,0.39
23,0.2,5.58,1.0,0.35
33,0.5,1.85,0.79,0.49
2,0.3,0.25,1.0,0.17
20,0.5,11.09,1.0,0.46
20,0.6,11.05,1.0,0.46
23,0.3,8.49,1.0,0.37
13,0.4,31.26,1.0,0.52
3,0.2,0.18,1.0,0.12
3,0.3,0.26,1.0,0.17
30,0.2,0.2,0.23,0.06
30,0.3,0.29,0.18,0.06
18,0.5,70.61,0.93,0.52
5,0.2,3.27,1.0,0.36
5,0.3,4.34,1.0,0.38
2,0.4,0.32,1.0,0.15
11,0.5,35.37,1.0,0.39
32,0.2,0.54,0.89,0.44
32,0.3,0.86,0.84,0.48
25,0.4,37.74,1.0,0.46
13,0.5,43.19,1.0,0.53
15,0.4,24.71,1.0,0.3
32,0.4,0.95,0.78,0.5
16,0.4,13.44,0.99,0.39
11,0.6,5.18,None,None
